full_name,age,speciality,desired_course,years_of_experience,graduation_year,city,district
Эрик Генрихович Фрай,34,Маркетолог,Искусство коммуникации,8,2013,Омск,Советский
Гареев Рустам Ахметович,34,Программист,Прикладное применение нейросетей,10,2012,Екатеринбург,Верх-Исетский
Шульц Генрих Викторович,34,Программист,Прикладное применение нейросетей,10,2012,Самара,Октябрьский
Зорина Светлана Романовна,34,Маркетолог,Искусство презентации,10,2012,Самара,Кировский
Петрова Анна Сергеевна,32,Маркетолог,Искусство презентации,8,2014,Омск,Советский округ
Кристиансен Олег Викторович,30,Тестировщик,Прикладное применение нейросетей,5,2016,Москва,Хамовники
Гарифуллин Ильдар Маратович,34,Инженер-конструктор,Прикладное применение нейросетей,8,2012,Санкт-Петербург,Калининский район
Кузнецов Дмитрий Алексеевич,35,Программист,Прикладное применение нейросетей,12,2010,Новосибирск,Ленинский
Ахметов Рустам Ильдарович,34,Инженер-конструктор,Прикладное применение нейросетей,10,2012,Ростов-на-Дону,Октябрьский
Маргарита Францевна Шульц,34,Маркетолог,Искусство презентации,10,2012,Челябинск,Ленинский район
Кузнецов Дмитрий Андреевич,33,Маркетолог,Искусство презентации,8,2014,Нижний Новгород,Сормовский район
Джонсон Александр Петрович,35,Программист,Прикладное применение нейросетей,12,2011,Москва,Хамовники
Ахметова Лейсан Маратовна,35,Инженер-конструктор,Управление проектами,13,2011,Казань,Советский район
Кузнецов Максим Игоревич,35,Программист,Прикладное применение нейросетей,13,2011,Челябинск,Советский
Кузнецов Дмитрий Алексеевич,35,Программист,Прикладное применение нейросетей,10,2011,Екатеринбург,Верх-Исетский
Светозарова Инга Борисовна,34,Экономист,Основы финансового анализа,10,2012,Челябинск,Курчатовский район
Морозова Екатерина Дмитриевна,34,Маркетолог,Искусство презентации,10,2012,Нижний Новгород,Советский район
Золотарева Елена Вячеславовна,34,Маркетолог,Искусство презентации,10,2012,Самара,Промышленный
Афанасьева Алевтина Станиславовна,35,Продакт-менеджер,Управление проектами,10,2011,Санкт-Петербург,Петроградский район
Кузнецова Мария Андреевна,34,Маркетолог,Искусство презентации,12,2012,Новосибирск,Кировский
Ибрагимов Руслан Маратович,35,Инженер-конструктор,Управление проектами,13,2011,Ростов-на-Дону,Советский район
Корнеева Алиса Игоревна,30,Юрист,Искусство коммуникации,7,2016,Санкт-Петербург,Приморский район
Кузнецов Игорь Дмитриевич,35,Инженер-конструктор,Прикладное применение нейросетей,12,2011,Нижний Новгород,Автозаводский
Кузнецов Дмитрий Алексеевич,34,Программист,Прикладное применение нейросетей,10,2012,Казань,Вахитовский район
Иванова Мария Сергеевна,34,Инженер-конструктор,Управление проектами,10,2012,Самара,Ленинский
Сергеев Дмитрий Алексеевич,35,Программист,Прикладное применение нейросетей,12,2012,Новосибирск,Кировский
Айгуль Радиковна Шакирова,34,Программист,Прикладное применение нейросетей,10,2012,Санкт-Петербург,Приморский район
Ибрагимов Радик Маратович,34,Экономист,Основы финансового анализа,10,2012,Омск,Кировский административный округ
Беккер Дмитрий Александрович,32,Продакт-менеджер,Управление проектами,8,2014,Москва,Хамовники
Быков Дмитрий Александрович,35,Инженер-конструктор,Прикладное применение нейросетей,10,2012,Ростов-на-Дону,Ворошиловский
Шульц Карл Генрихович,45,Инженер-конструктор,Управление проектами,20,2002,Екатеринбург,Чкаловский
Кудрявцева Ирина Дмитриевна,34,Маркетолог,Искусство коммуникации,12,2012,Екатеринбург,Чкаловский
Кузнецов Дмитрий Алексеевич,30,Программист,Прикладное применение нейросетей,7,2016,Казань,Приволжский
Миннебаев Айрат Рамилевич,35,Инженер-конструктор,Прикладное применение нейросетей,10,2012,Екатеринбург,Кировский район
Борисенко Ольга Викторовна,34,Маркетолог,Прикладное применение нейросетей,10,2012,Челябинск,Тракторозаводский район
Кристиан Йоханссон,35,Продакт-менеджер,Управление проектами,12,2011,Москва,Хамовники
Ковалёва Анна Дмитриевна,34,Маркетолог,Прикладное применение нейросетей,10,2012,Ростов-на-Дону,Советский район
Соколов Дмитрий Андреевич,30,Программист,Прикладное применение нейросетей,8,2016,Омск,Ленинский административный округ
Кузнецов Дмитрий Алексеевич,35,Маркетолог,Искусство презентации,10,2012,Санкт-Петербург,Василеостровский
Андерсон Павел Робертович,35,Программист,Прикладное применение нейросетей,12,2011,Москва,Хамовники
Кристиан Алоизиевич Шварц,30,Программист,Прикладное применение нейросетей,8,2016,Омск,Кировский
Гарипов Ильдар Раисович,34,Программист,Прикладное применение нейросетей,10,2012,Казань,Вахитовский район
Алиса Карловна Шмидт,30,Программист,Прикладное применение нейросетей,6,2018,Ростов-на-Дону,Ворошиловский
Яблонский Игорь Борисович,34,Программист,Прикладное применение нейросетей,10,2012,Челябинск,Тракторозаводский
Алиса Марковна Шмидт,30,Маркетолог,Прикладное применение нейросетей,6,2016,Новосибирск,Центральный
Максим Шварц,34,Программист,Прикладное применение нейросетей,10,2012,Казань,Вахитовский район
Кузнецов Дмитрий Алексеевич,30,Программист,Прикладное применение нейросетей,7,2016,Нижний Новгород,Сормовский район
Козлова Екатерина Дмитриевна,34,Маркетолог,Прикладное применение нейросетей,10,2012,Новосибирск,Октябрьский
Королев Дмитрий Алексеевич,35,Программист,Прикладное применение нейросетей,12,2011,Нижний Новгород,Сормовский район
Аюпов Рашид Ильдусович,35,Экономист,Управление проектами,10,2011,Самара,Промышленный
